	SignatureCluster	VersoCluster	UMAPgroup	nClonal	nMinor
SRR11494452	NA	C13	2	10	0
SRR11494453	NA	C09	10	10	0
SRR11494454	NA	C13	7	10	0
SRR11494455	SC#4	C06	6	13	1
SRR11494456	SC#4	C01	3	14	2
SRR11494457	SC#4	C06	3	11	1
SRR11494458	NA	C13	0	9	0
SRR11494459	SC#4	C09	0	7	4
SRR11494460	SC#4	C03	2	4	3
SRR11494461	SC#4	C03	4	5	1
SRR11494462	NA	C06	2	13	0
SRR11494463	NA	C12	3	10	0
SRR11494464	NA	C13	3	10	0
SRR11494465	NA	C09	10	10	0
SRR11494467	SC#4	C03	2	4	2
SRR11494468	SC#4	C10	5	12	1
SRR11494470	SC#4	C10	4	11	2
SRR11494471	NA	C12	3	10	0
SRR11494472	SC#4	C09	13	11	2
SRR11494473	SC#4	C06	3	11	2
SRR11494474	SC#4	C04	3	6	7
SRR11494475	SC#4	C09	2	7	2
SRR11494476	NA	C10	4	12	0
SRR11494477	NA	C10	0	10	0
SRR11494478	SC#4	C06	8	10	1
SRR11494479	SC#4	C03	3	6	2
SRR11494480	SC#4	C05	2	9	2
SRR11494481	NA	C06	2	9	0
SRR11494482	SC#4	C06	2	9	1
SRR11494483	NA	C13	15	11	0
SRR11494484	SC#4	C13	10	10	4
SRR11494485	SC#4	C10	9	11	13
SRR11494486	SC#4	C13	5	10	8
SRR11494487	NA	C01	5	11	0
SRR11494488	NA	C05	1	8	0
SRR11494489	SC#4	C04	2	4	2
SRR11494490	SC#4	C06	6	12	1
SRR11494491	SC#4	C06	0	7	1
SRR11494492	SC#4	C10	5	11	3
SRR11494493	SC#4	C03	4	5	2
SRR11494494	SC#4	C06	4	9	4
SRR11494495	SC#4	C13	13	11	1
SRR11494496	SC#4	C09	0	7	1
SRR11494497	SC#4	C01	3	11	10
SRR11494498	SC#4	C03	1	4	1
SRR11494499	SC#4	C06	2	10	2
SRR11494500	NA	C06	2	12	0
SRR11494501	SC#4	C09	14	10	1
SRR11494502	NA	C01	0	10	0
SRR11494503	SC#4	C06	3	7	2
SRR11494504	NA	C13	13	10	0
SRR11494505	SC#4	C13	5	12	3
SRR11494506	SC#4	C12	0	11	1
SRR11494507	SC#4	C03	3	4	1
SRR11494508	SC#4	C04	1	4	2
SRR11494510	SC#4	C10	11	12	1
SRR11494511	SC#4	C03	3	4	1
SRR11494513	SC#4	C03	3	4	2
SRR11494514	SC#4	C03	3	5	3
SRR11494515	SC#4	C13	1	12	2
SRR11494516	SC#4	C09	13	10	2
SRR11494517	NA	C10	0	10	0
SRR11494518	NA	C13	7	10	0
SRR11494519	SC#4	C04	3	6	5
SRR11494520	SC#4	C09	12	9	1
SRR11494521	SC#4	C10	12	12	1
SRR11494522	SC#4	C06	0	7	2
SRR11494523	SC#3	C04	2	3	26
SRR11494524	SC#4	C01	0	10	5
SRR11494526	NA	C09	3	9	0
SRR11494527	NA	C13	0	9	0
SRR11494528	NA	C13	5	12	0
SRR11494529	SC#4	C06	5	7	2
SRR11494530	NA	C01	0	10	0
SRR11494531	NA	C06	7	11	0
SRR11494532	NA	C10	5	11	0
SRR11494533	SC#4	C10	12	12	1
SRR11494534	NA	C13	3	10	0
SRR11494535	NA	C09	0	7	0
SRR11494536	SC#4	C03	1	4	1
SRR11494537	SC#4	C04	1	4	5
SRR11494538	SC#4	C03	3	4	3
SRR11494539	SC#4	C01	2	2	2
SRR11494540	NA	C09	14	10	0
SRR11494541	NA	C05	0	5	0
SRR11494542	NA	C09	0	7	0
SRR11494543	NA	C10	4	11	0
SRR11494544	SC#4	C10	11	12	2
SRR11494545	NA	C04	2	5	0
SRR11494546	SC#4	C13	9	10	1
SRR11494547	SC#4	C03	4	6	1
SRR11494548	SC#4	C01	2	3	2
SRR11494549	NA	C04	2	4	0
SRR11494550	SC#4	C12	3	13	2
SRR11494551	SC#4	C09	2	7	4
SRR11494552	NA	C10	11	12	0
SRR11494553	NA	C07	2	8	0
SRR11494554	NA	C04	1	4	0
SRR11494555	NA	C13	3	10	0
SRR11494556	SC#4	C03	2	4	1
SRR11494557	SC#3	C04	3	6	24
SRR11494558	NA	C09	0	7	0
SRR11494559	SC#4	C09	10	9	7
