	Run	BioProject	BioSample	Instrument	SampleName	GISAID	Country	Giorno	Date
1	SRR10903401	PRJNA601736	SAMN13872787	Illumina MiSeq	WHU02	EPI_ISL_406717	China	02/01/20	1
2	SRR10903402	PRJNA601736	SAMN13872786	Illumina MiSeq	WHU01	EPI_ISL_406716	China	02/01/20	1
3	SRR10971381	PRJNA603194	SAMN13922059	Illumina MiniSeq	Wuhan-Hu-1	EPI_ISL_402125	China	31/12/19	1
4	SRR11092059	PRJNA605983	SAMN14082200	Illumina HiSeq 3000	WIV07	EPI_ISL_402130	China	30/12/19	1
5	SRR11092062	PRJNA605983	SAMN14082197	Illumina HiSeq 1000	WIV04	EPI_ISL_402124	China	30/12/19	1
6	SRR11140750	PRJNA607948	SAMN14154199	Illumina MiSeq	USA-WI1	EPI_ISL_408670	USA	31/01/20	5
7	SRR11177792	PRJNA608651	SAMN14180202	Illumina MiSeq	BetaCoV/Nepal/61/2020	EPI_ISL_410301	Nepal	13/01/20	3
8	SRR11241254	PRJNA610428	SAMN14297849	Illumina MiSeq	WA3_UW1	EPI_ISL_413025	USA	27/02/20	9
9	SRR11241255	PRJNA610428	SAMN14297848	Illumina MiSeq	WA4_UW2	EPI_ISL_413455	USA	28/02/20	9
10	SRR11247075	PRJNA610428	SAMN14308029	Illumina MiSeq	WA9-UW6	EPI_ISL_413487	USA	01/03/20	9
11	SRR11247076	PRJNA610428	SAMN14308028	Illumina MiSeq	WA8-UW5	EPI_ISL_413486	USA	01/03/20	9
12	SRR11247077	PRJNA610428	SAMN14308027	Illumina MiSeq	WA7-UW4	EPI_ISL_413458	USA	01/03/20	9
13	SRR11247078	PRJNA610428	SAMN14308026	Illumina MiSeq	WA6-UW3	EPI_ISL_413457	USA	29/02/20	9
14	SRR11278090	PRJNA610428	SAMN14341563	NextSeq 500	WA13-UW9	EPI_ISL_413601	USA	02/03/20	10
15	SRR11278091	PRJNA610428	SAMN14341562	NextSeq 500	WA12-UW8	EPI_ISL_413563	USA	03/03/20	10
16	SRR11278092	PRJNA610428	SAMN14341561	NextSeq 500	WA11-UW7	EPI_ISL_413562	USA	02/03/20	10
17	SRR11278164	PRJNA610428	SAMN14341640	NextSeq 500	WA18-UW14	EPI_ISL_413653	USA	05/03/20	10
18	SRR11278165	PRJNA610428	SAMN14341639	NextSeq 500	WA17-UW13	EPI_ISL_413652	USA	05/03/20	10
19	SRR11278166	PRJNA610428	SAMN14341638	NextSeq 500	WA16-UW12	EPI_ISL_413651	USA	05/03/20	10
20	SRR11278167	PRJNA610428	SAMN14341637	NextSeq 500	WA15-UW11	EPI_ISL_413650	USA	05/03/20	10
21	SRR11278168	PRJNA610428	SAMN14341636	NextSeq 500	WA14-UW10	EPI_ISL_413649	USA	05/03/20	10
22	SRR11426417	PRJNA615319	SAMN14450688	Illumina NovaSeq 6000	WT-3_rSARS-CoV-2	EPI_ISL_406862	Germany	28/01/20	5
23	SRR11454607	PRJNA616446	SAMN14479135	Illumina MiniSeq	HBCDC-HB-06/2020	EPI_ISL_412982	China	07/02/20	6
24	SRR11454608	PRJNA616446	SAMN14479134	Illumina iSeq 100	HBCDC-HB-01/2020	EPI_ISL_412459	China	08/01/20	2
25	SRR11454609	PRJNA616446	SAMN14479133	NextSeq 550	HBCDC-HB-02/2020	EPI_ISL_412978	China	17/01/20	3
26	SRR11454610	PRJNA616446	SAMN14479132	NextSeq 550	HBCDC-HB-03/2020	EPI_ISL_412979	China	18/01/20	3
27	SRR11454613	PRJNA616446	SAMN14479129	Illumina MiSeq	HBCDC-HB-03/2019	EPI_ISL_412899	China	30/12/19	1
28	SRR11454614	PRJNA616446	SAMN14479128	Illumina MiSeq	HBCDC-HB-01/2019	EPI_ISL_402132	China	30/12/19	1
29	SRR11454615	PRJNA616446	SAMN14479127	Illumina MiSeq	HBCDC-HB-02/2019	EPI_ISL_412898	China	30/12/19	1
30	SRR11513776	PRJNA623895	SAMN14560168	Illumina iSeq 100	YGGDSXRHBFF/SARS-CoV-2	EPI_ISL_411902	Cambodia	27/01/20	5
31	SRR11528306	PRJNA624792	SAMN14584786	Illumina MiniSeq	SARS-CoV-2/SB3-TYAGNC	NA	Canada	NA	0
32	SRR11528307	PRJNA624792	SAMN14584785	Illumina MiniSeq	SARS-CoV-2/SB2	NA	Canada	NA	0
33	SRR11570921	PRJNA626526	SAMN14643484	Illumina MiSeq	ISR_JP0320	EPI_ISL_419211	Israel	23/02/20	8
34	SRR11621803	PRJNA610428	SAMN14751340	NextSeq 500	WA-UW-6185	EPI_ISL_430953	USA	01/04/20	14
35	SRR11621804	PRJNA610428	SAMN14751339	NextSeq 500	WA-UW-6183	NA	USA	NA	0
36	SRR11621805	PRJNA610428	SAMN14751338	NextSeq 500	ID-UW-4418	EPI_ISL_430952	USA	28/03/20	13
37	SRR11621806	PRJNA610428	SAMN14751337	NextSeq 500	WA-UW-4413	EPI_ISL_430951	USA	31/03/20	14
38	SRR11621807	PRJNA610428	SAMN14751336	NextSeq 500	OR-UW-4410	EPI_ISL_430950	USA	29/03/20	13
39	SRR11621808	PRJNA610428	SAMN14751335	NextSeq 500	ID-UW-4402	EPI_ISL_430949	USA	29/03/20	13
40	SRR11621809	PRJNA610428	SAMN14751334	NextSeq 500	ID-UW-4383	EPI_ISL_430948	USA	29/03/20	13
41	SRR11621810	PRJNA610428	SAMN14751333	NextSeq 500	ID-UW-4354	EPI_ISL_430947	USA	27/03/20	13
